id;active;created;name;description;product_code;main_category_id
1;false;2024-12-09;mégis eszerint megsokszoroz;ojjé despite;megkavar polemizál;1
2;false;2024-12-09;levehető kivéve ha;horzsolás after;viszont helyiérdekű atop;2
3;false;2024-12-09;following ohohó;azaz;ahá;3
4;false;2024-12-09;gyakorlatozik;lapító;méregzöld;4
5;false;2024-12-09;félelmetesen írásvetítő;rokonszenvez kézimunkázik;eszméletlen to;5
6;true;2024-12-09;ohohó reáliskola;minthogy;hisz szabályosan egyfülű;6
7;false;2024-12-09;félre;nos akkorról;felsiet fürdőszoba abcúg;7
8;false;2024-12-09;over mindenesetre apróbirtok;pompás fülőke;ohohó fi;8
9;false;2024-12-09;adóhátralék;haha tehát keresztülhajt;napjainkig over;9
10;false;2024-12-09;minus hálóz;fontoskodó úgyhogy á;bizony;10
